date,price
2024-05-22,3792.486220211773
2024-05-23,3741.897740560911
2024-05-24,3766.398091341944
2024-05-25,3727.065981583209
2024-05-26,3750.077159389676
2024-05-27,3825.277957577714
2024-05-28,3893.3921058941055
2024-05-29,3840.68886040005
2024-05-30,3765.3025567780796
2024-05-31,3748.6391523334596
2024-06-01,3761.0692456476336
2024-06-02,3813.452441559934
2024-06-03,3780.7119847349145
2024-06-04,3766.6376499412618
2024-06-05,3814.932030146498
2024-06-06,3871.0820906216727
2024-06-07,3812.701856549199
2024-06-08,3679.3766523741783
2024-06-09,3683.0253801346485
2024-06-10,3705.8998844045504
2024-06-11,3666.8276647258203
2024-06-12,3498.5559542215797
2024-06-13,3559.4475336257624
2024-06-14,3465.316584199481
2024-06-15,3478.7748349889234
2024-06-16,3565.1232591862595
2024-06-17,3618.508652976102
2024-06-18,3510.3586935289036
2024-06-19,3480.4713384276088
2024-06-20,3555.9658395535403
2024-06-21,3511.28482815368
2024-06-22,3516.88098000528
2024-06-23,3494.7985621731755
2024-06-24,3417.7971372978254
2024-06-25,3357.1006400727606
2024-06-26,3395.304687339692
2024-06-27,3365.9446697083863
2024-06-28,3442.910158110125
2024-06-29,3374.6051303067916
2024-06-30,3371.278227967461
2024-07-01,3435.3183276337395
2024-07-02,3438.009078999906
2024-07-03,3417.8984255478363
2024-07-04,3295.808464429979
2024-07-05,3069.0434008340803
2024-07-06,2984.398102498264
2024-07-07,3066.247437954064
2024-07-08,2928.6012310061665
2024-07-09,3016.0833537946064
2024-07-10,3064.0923605197886
2024-07-11,3099.7101861313545
2024-07-12,3102.0902302291074
2024-07-13,3132.980838609695
2024-07-14,3173.5042341380185
2024-07-15,3252.654184707363
2024-07-16,3488.5387580277174
2024-07-17,3446.7658893041003
2024-07-18,3389.441287038116
2024-07-19,3428.5520187667257
2024-07-20,3505.222536388452
2024-07-21,3522.8013028122487
2024-07-22,3533.118349531153
2024-07-23,3443.073350817144
2024-07-24,3482.9837705931927
2024-07-25,3336.3802530382436
2024-07-26,3173.7633983274727
2024-07-27,3278.1869575279507
2024-07-28,3254.611672582785
2024-07-29,3272.8501306701373
2024-07-30,3316.942188773212
2024-07-31,3276.981779516743
2024-08-01,3233.076804863122
2024-08-02,3204.2465237463616
2024-08-03,2983.300976694291
2024-08-04,2906.7150241765007
2024-08-05,2682.4373928187924
2024-08-06,2415.6311394312143
2024-08-07,2455.51137665051
2024-08-08,2341.590346028249
2024-08-09,2685.012750687489
2024-08-10,2602.1840712761878
2024-08-11,2608.0357436286963
2024-08-12,2558.790870730736
2024-08-13,2726.777988551933
2024-08-14,2703.5505587641255
2024-08-15,2662.780395092489
2024-08-16,2569.8604812159274
2024-08-17,2592.249006212312
2024-08-18,2613.139261446099
2024-08-19,2614.6012806263716
2024-08-20,2640.5904207330605
2024-08-21,2575.643435503567
2024-08-22,2630.2988017642488
2024-08-23,2623.289171364539
2024-08-24,2763.2554073640704
2024-08-25,2767.840733546234
2024-08-26,2745.164671605207
2024-08-27,2683.0801154902983
2024-08-28,2457.2773517547434
2024-08-29,2527.0269814017706
2024-08-30,2526.7383553003406
2024-08-31,2527.690204915795
2024-09-01,2513.3643501004462
2024-09-02,2430.0202661439344
2024-09-03,2534.9048168403706
2024-09-04,2437.1471557556497
2024-09-05,2448.30785784089
2024-09-06,2367.7700509506026
2024-09-07,2223.780428382685
2024-09-08,2272.6972849951912
2024-09-09,2296.4029520764498
2024-09-10,2359.565766831627
2024-09-11,2389.4740111256497
2024-09-12,2342.9639236941434
2024-09-13,2362.300238174588
2024-09-14,2445.08621032297
2024-09-15,2418.0828083179904
2024-09-16,2322.6433317480564
2024-09-17,2295.1348386540835
2024-09-18,2341.0924132597524
2024-09-19,2361.960992100706
2024-09-20,2465.2347833172967
2024-09-21,2557.6218555442515
2024-09-22,2614.599604753501
2024-09-23,2582.847683741262
2024-09-24,2647.9931622033255
2024-09-25,2653.844345308008
2024-09-26,2578.566359563475
2024-09-27,2630.94983700893
2024-09-28,2698.1928212346033
2024-09-29,2680.218702062471
2024-09-30,2659.611211611689
2024-10-01,2597.3411516834435
2024-10-02,2451.631522589772
2024-10-03,2365.231040243019
2024-10-04,2348.0048369247393
2024-10-05,2416.9184055552637
2024-10-06,2415.4038137445546
2024-10-07,2438.030912544012
2024-10-08,2422.7506412955013
2024-10-09,2441.4651696200294
2024-10-10,2367.615096789395
2024-10-11,2381.7817088014776
2024-10-12,2435.7137843692162
2024-10-13,2477.6130275578225
2024-10-14,2466.8607267086663
2024-10-15,2628.504376157751
2024-10-16,2602.0760435960988
2024-10-17,2611.700159182395
2024-10-18,2603.1202923346113
2024-10-19,2643.156520987104
2024-10-20,2649.979289580214
2024-10-21,2742.9591411600395
2024-10-22,2665.731938974013
2024-10-23,2619.5653130506435
2024-10-24,2524.1038563091197
2024-10-25,2536.234041319884
2024-10-26,2422.09328922875
2024-10-27,2479.3736032443317
2024-10-28,2505.502947138879
2024-10-29,2564.8138556782997
2024-10-30,2638.637351278122
2024-10-31,2657.6141818494384
2024-11-01,2514.750787241073
2024-11-02,2513.8372870612066
2024-11-03,2491.352150058657
2024-11-04,2456.979687344711
2024-11-05,2395.9472139132804
2024-11-06,2422.368479855642
2024-11-07,2720.6217450068793
2024-11-08,2894.9718733838376
2024-11-09,2960.9593369382137
