date,price
2024-05-22,178.1744919321701
2024-05-23,176.86884758403767
2024-05-24,176.0640591935767
2024-05-25,167.76687801061138
2024-05-26,168.3697915144665
2024-05-27,163.35859974681
2024-05-28,169.81442537506513
2024-05-29,168.75055773108363
2024-05-30,168.13546936257387
2024-05-31,167.014473333231
2024-06-01,165.91353028162595
2024-06-02,165.9632350083908
2024-06-03,163.11854094832748
2024-06-04,164.81254949676975
2024-06-05,171.7281286123733
2024-06-06,173.76957145050255
2024-06-07,170.37271994953753
2024-06-08,162.4532049787127
2024-06-09,158.1807505205203
2024-06-10,162.063709361357
2024-06-11,158.8863716164394
2024-06-12,149.30184393721757
2024-06-13,154.85704243492725
2024-06-14,147.23468433017004
2024-06-15,143.0214313059618
2024-06-16,145.28190108402654
2024-06-17,150.65560322695782
2024-06-18,143.201979419663
2024-06-19,137.4629937319601
2024-06-20,135.40309403154043
2024-06-21,133.44256940911677
2024-06-22,134.51329489326994
2024-06-23,133.48608472760722
2024-06-24,128.54028172949205
2024-06-25,132.3377865818776
2024-06-26,136.51374501335556
2024-06-27,136.4415134350111
2024-06-28,149.23075419544415
2024-06-29,139.72594706135848
2024-06-30,139.86689852094338
2024-07-01,146.42869641202853
2024-07-02,146.34737782842973
2024-07-03,153.63922449411186
2024-07-04,140.7242009904032
2024-07-05,127.93484525812943
2024-07-06,134.41985405373308
2024-07-07,143.1010931430681
2024-07-08,131.85304400674195
2024-07-09,139.3176879675135
2024-07-10,141.45706675192378
2024-07-11,141.92265716309768
2024-07-12,136.0741315804191
2024-07-13,139.36219270413474
2024-07-14,141.6752437311082
2024-07-15,147.95483971650256
2024-07-16,159.92387112565993
2024-07-17,160.78254302928178
2024-07-18,155.40160618387858
2024-07-19,159.01459142432648
2024-07-20,169.216310530705
2024-07-21,174.10164864661212
2024-07-22,184.45124996312572
2024-07-23,178.98087466888327
2024-07-24,173.0332556528894
2024-07-25,178.01893576386516
2024-07-26,171.69638408630425
2024-07-27,183.08447393423776
2024-07-28,184.66861277323875
2024-07-29,184.78835915686435
2024-07-30,182.5435212575425
2024-07-31,179.0391933974778
2024-08-01,171.97399127813304
2024-08-02,167.8878366549297
2024-08-03,152.41068415516077
2024-08-04,143.12748726015352
2024-08-05,137.55503532710202
2024-08-06,129.6977057929065
2024-08-07,143.64341390089055
2024-08-08,145.14244971442133
2024-08-09,163.04650728359596
2024-08-10,156.48102610362196
2024-08-11,153.89246804945327
2024-08-12,141.47128798826427
2024-08-13,146.52219296049833
2024-08-14,146.771846931375
2024-08-15,143.8673185637519
2024-08-16,142.88162536670714
2024-08-17,139.1231866703018
2024-08-18,141.68880938274887
2024-08-19,142.46608358914975
2024-08-20,144.57380160342618
2024-08-21,142.51583020843475
2024-08-22,142.5238693684667
2024-08-23,143.25427944806466
2024-08-24,152.928737509745
2024-08-25,160.64024093840217
2024-08-26,158.63304408954454
2024-08-27,157.03937393616738
2024-08-28,146.82431294389428
2024-08-29,143.8331722816584
2024-08-30,139.9259778169222
2024-08-31,138.21975492529612
2024-09-01,135.29968573537374
2024-09-02,128.79106623891246
2024-09-03,134.98461607964123
2024-09-04,127.58277629667671
2024-09-05,133.56817999646105
2024-09-06,129.2737299893364
2024-09-07,124.88794928540135
2024-09-08,127.68773420349791
2024-09-09,129.92115177962722
2024-09-10,134.8794136936412
2024-09-11,135.53520634032947
2024-09-12,132.60279314846
2024-09-13,136.20912396005608
2024-09-14,138.97334178109747
2024-09-15,137.18415865102773
2024-09-16,131.62267074556308
2024-09-17,131.52040183855297
2024-09-18,131.52137869559544
2024-09-19,133.61385947184837
2024-09-20,142.68574337456613
2024-09-21,146.47882774731306
2024-09-22,149.6684323230078
2024-09-23,144.8397327948964
2024-09-24,144.88610360985587
2024-09-25,152.88718767415355
2024-09-26,148.1082936254362
2024-09-27,155.466115622881
2024-09-28,157.79795876913818
2024-09-29,156.9590627676465
2024-09-30,158.623421883811
2024-10-01,152.54403421201002
2024-10-02,145.20896405799175
2024-10-03,140.44843275006326
2024-10-04,136.65393647537826
2024-10-05,143.16476802180077
2024-10-06,142.74066530825795
2024-10-07,146.3485360445286
2024-10-08,144.21265658625913
2024-10-09,143.4338504886754
2024-10-10,139.32635039743118
2024-10-11,138.76215517070165
2024-10-12,145.3183432059626
2024-10-13,146.58106227732287
2024-10-14,147.49229086781492
2024-10-15,157.3459292988939
2024-10-16,154.62263332245095
2024-10-17,154.2635899099486
2024-10-18,150.27306080375143
2024-10-19,155.0727514171131
2024-10-20,159.59268197009004
2024-10-21,166.573580832598
2024-10-22,166.37603410566598
2024-10-23,167.21134937308716
2024-10-24,171.31390405727439
2024-10-25,177.37306125678103
2024-10-26,164.34475959360174
2024-10-27,170.56035339294928
2024-10-28,176.62596685410173
2024-10-29,178.14045831001073
2024-10-30,179.3686111316114
2024-10-31,175.07910306095894
2024-11-01,168.4025224117599
2024-11-02,166.28821025376803
2024-11-03,165.99502794396105
2024-11-04,162.66791799614072
2024-11-05,157.6072230849172
2024-11-06,166.51143603878933
2024-11-07,187.1685353309579
2024-11-08,196.20253922973225
2024-11-09,199.83336694253737
2024-11-10,200.1685708629758
2024-11-11,210.18784246643875
2024-11-12,222.64379026281208
2024-11-13,213.0672905358662
2024-11-14,215.0830227659504
2024-11-15,209.3680513303875
2024-11-16,219.08569006216123
2024-11-17,216.05467211977268
2024-11-18,237.4665536612789
2024-11-19,239.77742042710136
2024-11-20,237.91328769126025
2024-11-21,236.04012432804112
2024-11-22,257.2507185771503
2024-11-23,256.24790229652683
2024-11-24,254.69897355925355
