coin,num_samples,num_moonshots,IF_Precision@10
DENTUSDT,31,26,0.9
AMPUSDT,66,61,1.0
MASKUSDT,54,49,1.0
MAVUSDT,11,6,0.5
ILVUSDT,42,37,0.8
SEIUSDT,63,58,0.7
DOGEUSDT,87,82,1.0
RIFUSDT,54,49,1.0
TKOUSDT,36,31,1.0
DGBUSDT,35,30,1.0
ENJUSDT,46,41,1.0
WAXPUSDT,11,6,0.6
RAYUSDT,117,112,1.0
TRBUSDT,118,113,1.0
ZENUSDT,56,51,1.0
C98USDT,18,13,0.5
ZILUSDT,17,12,0.7
THETAUSDT,50,45,0.9
SUNUSDT,55,50,1.0
GLMUSDT,27,22,1.0
ATOMUSDT,18,13,0.7
PHAUSDT,86,81,1.0
MANAUSDT,53,48,1.0
STPTUSDT,30,25,1.0
DUSKUSDT,36,31,0.9
FLOKIUSDT,76,71,1.0
NEARUSDT,51,46,1.0
FLMUSDT,38,33,1.0
AUCTIONUSDT,95,90,1.0
MDTUSDT,71,66,1.0
ARKUSDT,35,30,0.9
AGLDUSDT,51,46,0.9
FORTHUSDT,12,7,0.5
VOXELUSDT,50,45,1.0
ADAUSDT,35,30,0.9
CTSIUSDT,34,29,1.0
GTCUSDT,17,12,0.7
1INCHUSDT,20,15,0.6
JOEUSDT,52,47,1.0
NTRNUSDT,45,40,0.9
OMUSDT,139,134,1.0
PYRUSDT,21,16,0.8
CAKEUSDT,52,47,1.0
MEMEUSDT,34,29,1.0
ATAUSDT,20,15,1.0
ORDIUSDT,36,31,1.0
TRXUSDT,34,29,1.0
